12/11/21,Cellule A,Fiscal,Cellule A,Cellule A,Aucune ,Complet
13/11/21,Cellule A,Opérationnel,Cellule A,Cellule A,Tout les jours,Partiel
14/11/21,Cellule B,Fiscal,Cellule B,Cellule B,Hebdomadaire,Partiel
15/11/21,Cellule C,Fiscal,Cellule C,Cellule C,Aucune ,Partiel
16/11/21,Cellule A,Fiscal,Cellule A,Cellule A,Aucune ,Partiel
17/11/21,Cellule B,Opérationnel,Cellule B,Cellule B,Tout les jours,Complet
18/11/21,Cellule C,Opérationnel,Cellule C,Cellule C,Aucune ,Complet
19/11/21,Cellule C,Fiscal,Cellule C,Cellule C,Aucune ,Partiel
20/11/21,Cellule A,Opérationnel,Cellule A,Cellule A,Aucune ,Complet
21/11/21,Cellule A,Opérationnel,Cellule A,Cellule A,Annuelle,Complet
